                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.87667,                0.98156,                 1.9618,                 0.3599,                0.37712,                0.30032,                 0.1687,                 3.1595,                 4.3019,                 3.6421,             0.00046165,             0.00046165,             0.00046165
                     35,                0.87309,                0.93631,                   1.96,                0.37826,                0.33758,                0.28982,                0.16317,                  3.171,                 4.4988,                 3.6609,              0.0004567,              0.0004567,              0.0004567
                     36,                  0.862,                0.94459,                 1.9627,                0.39627,                0.34325,                 0.3033,                0.16976,                 3.2283,                  4.385,                 3.6927,             0.00045175,             0.00045175,             0.00045175
                     37,                0.87662,                0.93885,                 1.9573,                0.36831,                0.36972,                0.31006,                0.17401,                 3.1763,                 4.3484,                 3.6615,              0.0004468,              0.0004468,              0.0004468
                     38,                0.84472,                0.93165,                 1.9436,                0.37169,                0.35371,                0.30218,                0.17594,                 3.1271,                  4.323,                 3.6306,             0.00044185,             0.00044185,             0.00044185
                     39,                0.86088,                0.94822,                 1.9582,                0.35707,                 0.3481,                0.29095,                0.16414,                  3.178,                 4.4526,                  3.657,              0.0004369,              0.0004369,              0.0004369
                     40,                0.83324,                 0.9236,                 1.9401,                0.35192,                 0.3521,                0.27642,                0.15703,                 3.1991,                  4.542,                 3.6791,             0.00043195,             0.00043195,             0.00043195
                     41,                0.85328,                0.92236,                 1.9528,                0.41569,                0.35904,                0.31997,                 0.1821,                 3.1486,                 4.2498,                 3.6138,               0.000427,               0.000427,               0.000427
                     42,                0.84883,                0.91645,                 1.9507,                0.37042,                0.36282,                0.30167,                 0.1698,                 3.1287,                 4.3684,                 3.6272,             0.00042205,             0.00042205,             0.00042205
                     43,                0.84658,                0.92783,                 1.9506,                0.39144,                0.35705,                0.30895,                0.17857,                 3.1381,                 4.3262,                 3.6443,              0.0004171,              0.0004171,              0.0004171
                     44,                0.82401,                0.92651,                 1.9421,                0.38085,                0.34724,                0.29717,                0.17049,                 3.1477,                 4.3368,                 3.6232,             0.00041215,             0.00041215,             0.00041215
                     45,                0.80675,                0.87611,                 1.9242,                0.37537,                0.35054,                0.29372,                0.17057,                  3.127,                 4.4544,                 3.6171,              0.0004072,              0.0004072,              0.0004072
                     46,                0.81804,                0.87932,                 1.9302,                0.38246,                0.37334,                0.31451,                0.17894,                 3.1263,                 4.2491,                 3.6081,             0.00040225,             0.00040225,             0.00040225
                     47,                0.83459,                0.89878,                 1.9468,                0.38259,                0.37303,                0.31608,                0.18438,                  3.137,                 4.3243,                 3.6323,              0.0003973,              0.0003973,              0.0003973
                     48,                 0.8037,                0.87601,                 1.9258,                 0.3958,                0.35609,                0.32392,                0.18711,                 3.1041,                 4.2414,                 3.6201,             0.00039235,             0.00039235,             0.00039235
                     49,                 0.8126,                0.85446,                 1.9352,                0.41132,                0.37058,                0.32466,                0.18374,                 3.1258,                 4.2316,                 3.5844,              0.0003874,              0.0003874,              0.0003874
                     50,                0.79863,                 0.8565,                 1.9228,                0.40394,                0.36103,                0.31399,                0.17903,                 3.1612,                 4.3134,                 3.6589,             0.00038245,             0.00038245,             0.00038245
                     51,                0.78794,                0.84907,                 1.9177,                0.40639,                0.38829,                0.33425,                  0.191,                 3.0922,                 4.1976,                 3.6122,              0.0003775,              0.0003775,              0.0003775
                     52,                0.77762,                0.84156,                 1.9128,                0.41818,                  0.386,                0.35015,                0.20172,                  3.085,                 4.0893,                 3.5905,             0.00037255,             0.00037255,             0.00037255
                     53,                0.78284,                0.83726,                 1.9264,                0.41921,                 0.3922,                0.34764,                0.20248,                 3.1065,                 4.1578,                 3.6104,              0.0003676,              0.0003676,              0.0003676
                     54,                0.77565,                0.83431,                 1.9174,                0.40843,                  0.398,                0.34935,                0.19767,                 3.1198,                 4.0848,                 3.5932,             0.00036265,             0.00036265,             0.00036265
                     55,                 0.7903,                0.84224,                 1.9219,                0.42395,                0.38571,                0.34691,                0.19944,                 3.0901,                 4.0992,                 3.6199,              0.0003577,              0.0003577,              0.0003577
                     56,                0.77653,                0.83408,                 1.9208,                0.42778,                 0.3904,                0.35337,                0.20699,                 3.0765,                  4.071,                 3.6023,             0.00035275,             0.00035275,             0.00035275
                     57,                0.75894,                0.80531,                 1.9117,                0.41835,                 0.3793,                0.34111,                0.19855,                 3.1038,                 4.1191,                 3.6027,              0.0003478,              0.0003478,              0.0003478
                     58,                0.75939,                0.80925,                 1.9059,                0.42492,                0.40946,                0.36042,                0.20633,                 3.1012,                  4.027,                 3.5879,             0.00034285,             0.00034285,             0.00034285
                     59,                0.76557,                0.79132,                  1.905,                0.43392,                0.38558,                0.36291,                0.20785,                 3.0965,                 4.0055,                 3.6093,              0.0003379,              0.0003379,              0.0003379
