                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6355,                 5.7829,                 2.3391,                0.00043,                0.01885,                0.00057,                0.00023,                 2.2684,                 4.3428,                 2.2283,                   0.01,                   0.01,                   0.01
                      2,                 2.1696,                 5.1512,                 1.9364,                0.00125,                0.04584,                0.00287,                0.00133,                  2.066,                 4.0685,                 2.0304,              0.0099902,              0.0099902,              0.0099902
                      3,                 2.0195,                 4.8823,                  1.822,                0.42978,                0.00528,                0.00544,                0.00304,                 1.9622,                   4.01,                  1.943,               0.009961,               0.009961,               0.009961
                      4,                 1.9315,                 4.7015,                 1.7596,                0.48789,                0.01058,                0.00747,                0.00429,                    nan,                    nan,                    nan,              0.0099123,              0.0099123,              0.0099123
                      5,                 1.8741,                 4.5652,                 1.7198,                0.59387,                0.01405,                0.01098,                0.00631,                 1.8174,                 3.4656,                 1.8112,              0.0098445,              0.0098445,              0.0098445
                      6,                 1.8245,                 4.4466,                 1.6883,                0.57119,                0.01773,                 0.0126,                0.00745,                    nan,                    nan,                    nan,              0.0097577,              0.0097577,              0.0097577
                      7,                 1.7937,                 4.3589,                 1.6664,                0.59667,                0.02034,                0.01683,                0.01008,                 1.6958,                 3.2365,                 1.7171,              0.0096524,              0.0096524,              0.0096524
                      8,                 1.7608,                 4.2759,                  1.643,                0.57788,                0.02425,                0.02084,                0.01282,                 1.6702,                 3.1781,                  1.682,              0.0095289,              0.0095289,              0.0095289
                      9,                 1.7398,                 4.2104,                 1.6275,                0.44784,                0.02917,                0.01929,                0.01156,                 1.6321,                    nan,                 1.6508,              0.0093877,              0.0093877,              0.0093877
                     10,                 1.7216,                 4.1509,                 1.6166,                0.62243,                0.03371,                 0.0277,                0.01677,                 1.6096,                    nan,                 1.6295,              0.0092294,              0.0092294,              0.0092294
                     11,                 1.7008,                 4.0856,                 1.5994,                0.60968,                0.03573,                0.02713,                0.01689,                    nan,                    nan,                    nan,              0.0090546,              0.0090546,              0.0090546
                     12,                 1.6921,                 4.0458,                 1.5908,                0.63155,                0.03742,                0.03119,                0.01952,                    nan,                    nan,                    nan,               0.008864,               0.008864,               0.008864
                     13,                 1.6772,                 3.9947,                  1.582,                0.61197,                0.04051,                0.03444,                0.02176,                  1.548,                 2.8985,                 1.5759,              0.0086584,              0.0086584,              0.0086584
                     14,                 1.6623,                 3.9518,                 1.5744,                0.65478,                0.04307,                0.03969,                0.02446,                    nan,                    nan,                    nan,              0.0084385,              0.0084385,              0.0084385
                     15,                 1.6534,                 3.9083,                 1.5665,                0.48018,                0.04912,                0.03825,                 0.0245,                 1.5168,                    nan,                 1.5536,              0.0082052,              0.0082052,              0.0082052
                     16,                 1.6381,                 3.8674,                 1.5565,                 0.6049,                0.05327,                 0.0457,                0.02858,                    nan,                    nan,                    nan,              0.0079595,              0.0079595,              0.0079595
                     17,                 1.6333,                 3.8449,                 1.5514,                0.63244,                0.05126,                0.04239,                0.02684,                    nan,                    nan,                    nan,              0.0077023,              0.0077023,              0.0077023
                     18,                 1.6205,                 3.8081,                 1.5421,                0.64815,                0.05123,                0.04622,                0.02979,                    nan,                    nan,                    nan,              0.0074347,              0.0074347,              0.0074347
                     19,                 1.6147,                 3.7742,                 1.5353,                0.62032,                0.05657,                0.04744,                0.03058,                    nan,                    nan,                    nan,              0.0071576,              0.0071576,              0.0071576
                     20,                 1.6057,                 3.7405,                 1.5302,                0.60691,                0.05896,                0.04906,                 0.0316,                    nan,                    nan,                    nan,              0.0068722,              0.0068722,              0.0068722
                     21,                 1.6029,                 3.7177,                 1.5261,                 0.5823,                0.06267,                0.05371,                0.03523,                    nan,                    nan,                    nan,              0.0065796,              0.0065796,              0.0065796
                     22,                 1.5931,                 3.6915,                 1.5194,                0.58885,                0.06349,                0.05584,                0.03639,                    nan,                    nan,                    nan,               0.006281,               0.006281,               0.006281
                     23,                 1.5836,                 3.6662,                 1.5135,                0.57778,                0.06654,                0.05783,                0.03813,                 1.4461,                    nan,                 1.4882,              0.0059775,              0.0059775,              0.0059775
                     24,                 1.5773,                 3.6307,                 1.5114,                0.56691,                0.06691,                0.06025,                0.03943,                 1.4399,                    nan,                 1.4847,              0.0056704,              0.0056704,              0.0056704
                     25,                 1.5704,                 3.6026,                  1.503,                0.54751,                0.07259,                 0.0637,                0.04179,                 1.4362,                    nan,                 1.4803,              0.0053608,              0.0053608,              0.0053608
                     26,                 1.5661,                 3.5873,                  1.503,                 0.5621,                0.07258,                0.06505,                0.04287,                 1.4313,                    nan,                  1.476,                0.00505,                0.00505,                0.00505
                     27,                 1.5571,                 3.5619,                 1.4996,                0.55538,                0.07481,                0.06494,                0.04266,                 1.4268,                    nan,                  1.472,              0.0047392,              0.0047392,              0.0047392
                     28,                 1.5531,                  3.545,                 1.4948,                0.55201,                0.07375,                0.06457,                0.04326,                 1.4244,                    nan,                 1.4694,              0.0044296,              0.0044296,              0.0044296
                     29,                 1.5488,                   3.52,                  1.489,                0.55252,                 0.0736,                0.06567,                0.04393,                 1.4214,                    nan,                 1.4667,              0.0041225,              0.0041225,              0.0041225
                     30,                 1.5449,                 3.4992,                 1.4853,                0.55896,                0.07355,                0.06687,                0.04429,                 1.4181,                    nan,                 1.4635,               0.003819,               0.003819,               0.003819
                     31,                 1.5378,                 3.4786,                 1.4861,                  0.556,                 0.0744,                0.06733,                0.04478,                 1.4157,                    nan,                 1.4618,              0.0035204,              0.0035204,              0.0035204
                     32,                 1.5305,                 3.4607,                 1.4807,                0.54778,                0.07472,                0.06821,                0.04552,                 1.4135,                    nan,                 1.4601,              0.0032278,              0.0032278,              0.0032278
                     33,                 1.5263,                 3.4445,                 1.4783,                 0.5419,                0.07827,                  0.069,                0.04599,                 1.4116,                    nan,                 1.4583,              0.0029424,              0.0029424,              0.0029424
                     34,                 1.5195,                 3.4215,                 1.4757,                0.54746,                0.07835,                0.06874,                0.04565,                 1.4099,                    nan,                  1.457,              0.0026653,              0.0026653,              0.0026653
                     35,                 1.5142,                 3.4097,                 1.4711,                0.53931,                0.07923,                0.06947,                0.04637,                 1.4085,                    nan,                 1.4556,              0.0023977,              0.0023977,              0.0023977
                     36,                 1.5149,                 3.3997,                 1.4696,                0.53588,                0.07969,                 0.0698,                0.04658,                 1.4074,                    nan,                 1.4544,              0.0021405,              0.0021405,              0.0021405
                     37,                  1.513,                 3.3689,                 1.4647,                0.53377,                0.08001,                0.07008,                0.04642,                 1.4065,                    nan,                 1.4536,              0.0018948,              0.0018948,              0.0018948
                     38,                 1.5081,                 3.3635,                 1.4655,                0.53241,                0.08039,                0.07107,                0.04736,                 1.4058,                    nan,                 1.4531,              0.0016615,              0.0016615,              0.0016615
                     39,                 1.5035,                 3.3523,                 1.4633,                 0.5312,                0.08115,                0.07121,                0.04745,                 1.4049,                    nan,                 1.4523,              0.0014416,              0.0014416,              0.0014416
                     40,                 1.4998,                 3.3313,                 1.4599,                0.52732,                0.08157,                0.07124,                0.04761,                 1.4039,                    nan,                 1.4513,               0.001236,               0.001236,               0.001236
                     41,                 1.5265,                 3.2786,                 1.4942,                0.53443,                0.08064,                0.07125,                0.04793,                 1.4023,                    nan,                 1.4499,              0.0010454,              0.0010454,              0.0010454
                     42,                 1.5168,                 3.2462,                 1.4887,                0.52911,                0.08171,                0.07143,                 0.0481,                 1.4011,                    nan,                 1.4488,             0.00087058,             0.00087058,             0.00087058
                     43,                 1.5175,                  3.229,                  1.489,                0.52654,                0.08123,                0.07163,                0.04849,                 1.3996,                    nan,                 1.4476,             0.00071228,             0.00071228,             0.00071228
