                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89186,                 3.5419,                 1.1836,                0.42332,                0.01147,                0.00981,                0.00623,                 1.3166,                 3.4049,                 1.4842,               0.003333,               0.003333,               0.003333
                      2,                0.79772,                 2.3373,                 1.1413,                0.28601,                0.01618,                0.00879,                0.00524,                 1.4005,                 3.0667,                 1.5756,              0.0064464,              0.0064464,              0.0064464
                      3,                0.81863,                 2.1757,                 1.1568,                0.27537,                0.01587,                0.00771,                 0.0045,                 1.4636,                 3.0042,                 1.6639,              0.0093397,              0.0093397,              0.0093397
                      4,                0.79267,                 2.0396,                  1.148,                0.29824,                0.01829,                0.00881,                0.00528,                 1.4289,                 2.9855,                 1.6322,                0.00901,                0.00901,                0.00901
                      5,                 0.7331,                 1.8781,                 1.1201,                0.34044,                0.02236,                0.01061,                0.00646,                 1.3783,                  2.858,                 1.5913,                0.00868,                0.00868,                0.00868
                      6,                0.69155,                 1.7253,                 1.1018,                0.40914,                0.02174,                0.01286,                0.00791,                 1.3495,                 2.7408,                 1.5561,                0.00835,                0.00835,                0.00835
                      7,                0.66734,                 1.6136,                 1.0918,                0.40844,                0.02832,                0.01469,                0.00941,                 1.3102,                 2.6423,                 1.5229,                0.00802,                0.00802,                0.00802
                      8,                0.64798,                 1.5158,                 1.0836,                0.44762,                0.03118,                0.01641,                0.01068,                 1.2916,                 2.5566,                 1.5117,                0.00769,                0.00769,                0.00769
                      9,                  0.631,                 1.4528,                 1.0754,                0.45662,                0.02902,                0.01675,                0.01086,                 1.2685,                 2.5379,                 1.4873,                0.00736,                0.00736,                0.00736
                     10,                0.62135,                 1.4093,                 1.0716,                0.48764,                0.03233,                0.01773,                 0.0117,                 1.2525,                 2.5018,                 1.4736,                0.00703,                0.00703,                0.00703
                     11,                0.61186,                 1.3784,                 1.0654,                0.51387,                0.03323,                0.02047,                0.01378,                  1.247,                 2.4967,                 1.4606,                 0.0067,                 0.0067,                 0.0067
                     12,                0.60219,                 1.3538,                 1.0615,                0.51825,                0.03376,                0.02386,                0.01593,                 1.2308,                  2.458,                 1.4493,                0.00637,                0.00637,                0.00637
                     13,                0.59428,                 1.3298,                 1.0575,                 0.5545,                0.03236,                0.02496,                0.01683,                 1.2193,                 2.4269,                 1.4382,                0.00604,                0.00604,                0.00604
                     14,                0.58507,                 1.3072,                 1.0537,                0.55611,                0.03338,                0.02749,                  0.019,                 1.2093,                 2.4035,                   1.43,                0.00571,                0.00571,                0.00571
                     15,                0.58106,                 1.2975,                 1.0509,                 0.5297,                0.03925,                0.02651,                0.01791,                 1.2038,                 2.3579,                 1.4241,                0.00538,                0.00538,                0.00538
                     16,                0.57036,                 1.2696,                 1.0465,                0.54554,                0.03841,                0.02868,                0.01946,                 1.1968,                 2.3542,                 1.4171,                0.00505,                0.00505,                0.00505
                     17,                0.56525,                 1.2578,                 1.0442,                0.53281,                0.04187,                0.02942,                0.01976,                 1.1923,                 2.3496,                 1.4124,                0.00472,                0.00472,                0.00472
                     18,                0.55794,                 1.2366,                 1.0402,                0.53088,                0.04411,                0.03022,                0.02053,                 1.1885,                 2.3364,                 1.4088,                0.00439,                0.00439,                0.00439
                     19,                0.55429,                 1.2274,                 1.0399,                0.54323,                0.04434,                0.03064,                 0.0209,                  1.184,                 2.3247,                 1.4048,                0.00406,                0.00406,                0.00406
                     20,                0.55046,                 1.2266,                 1.0389,                0.54335,                0.04532,                0.03175,                0.02181,                 1.1805,                 2.3168,                 1.4017,                0.00373,                0.00373,                0.00373
                     21,                 1.5062,                 3.6761,                 1.5579,                0.55257,                0.04408,                0.03261,                0.02295,                 1.1719,                 2.2856,                  1.394,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.4799,                 3.5732,                 1.5313,                 0.5581,                0.04551,                0.03354,                0.02375,                 1.1629,                 2.2535,                 1.3857,                0.00307,                0.00307,                0.00307
                     23,                 1.4608,                 3.5068,                 1.5188,                0.55927,                0.04674,                0.03504,                0.02522,                 1.1535,                 2.2246,                 1.3769,                0.00274,                0.00274,                0.00274
                     24,                 1.4463,                 3.4456,                 1.5046,                0.55946,                 0.0487,                0.03555,                0.02561,                 1.1452,                 2.2003,                 1.3694,                0.00241,                0.00241,                0.00241
                     25,                 1.4313,                 3.3996,                 1.4956,                0.56913,                0.04869,                0.03638,                0.02627,                 1.1383,                 2.1809,                  1.363,                0.00208,                0.00208,                0.00208
                     26,                 1.4202,                 3.3565,                 1.4858,                0.57154,                0.04865,                0.03695,                0.02672,                 1.1319,                  2.165,                 1.3572,                0.00175,                0.00175,                0.00175
                     27,                 1.4052,                 3.3135,                 1.4752,                0.56653,                0.04845,                0.03766,                0.02739,                 1.1262,                 2.1497,                 1.3519,                0.00142,                0.00142,                0.00142
                     28,                 1.3957,                 3.2751,                 1.4634,                0.56453,                0.04943,                0.03782,                0.02763,                 1.1215,                 2.1369,                 1.3472,                0.00109,                0.00109,                0.00109
                     29,                 1.3869,                 3.2357,                  1.459,                0.56568,                0.05087,                0.03846,                0.02813,                  1.117,                 2.1254,                 1.3428,                0.00076,                0.00076,                0.00076
