                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2652,                 4.3267,                 1.3401,                0.72352,                0.07727,                0.06024,                0.04352,                 1.0739,                  2.257,                 1.2132,              0.0033326,              0.0033326,              0.0033326
                      2,                 1.3039,                 3.5291,                 1.3606,                0.54202,                 0.0803,                0.05842,                0.04057,                 1.1767,                 2.3431,                 1.2947,                 0.0066,                 0.0066,                 0.0066
                      3,                  1.405,                 3.6457,                 1.4286,                0.49318,                0.06237,                0.04711,                0.03158,                 1.2904,                 2.5501,                 1.3895,              0.0098013,              0.0098013,              0.0098013
                      4,                 1.4562,                 3.7128,                 1.4673,                0.50339,                0.07093,                 0.0587,                0.04019,                 1.2733,                 2.4784,                  1.382,               0.009703,               0.009703,               0.009703
                      5,                  1.406,                 3.4923,                   1.43,                0.52102,                0.08691,                0.07293,                0.05121,                 1.2128,                 2.3103,                 1.3338,               0.009604,               0.009604,               0.009604
                      6,                 1.3708,                 3.3467,                 1.4068,                0.55813,                0.09807,                0.08337,                0.05929,                 1.1805,                 2.1772,                 1.3094,               0.009505,               0.009505,               0.009505
                      7,                 1.3439,                 3.2415,                  1.389,                0.53224,                0.10558,                0.09674,                0.07112,                 1.1489,                 2.0852,                 1.2832,               0.009406,               0.009406,               0.009406
                      8,                 1.3268,                 3.1473,                 1.3703,                0.54431,                0.11564,                0.10446,                0.07527,                 1.1266,                 2.0367,                 1.2677,               0.009307,               0.009307,               0.009307
                      9,                 1.3127,                 3.0794,                 1.3619,                0.57389,                0.11447,                0.11364,                0.08298,                 1.1004,                 1.9673,                 1.2443,               0.009208,               0.009208,               0.009208
                     10,                 1.2988,                 3.0175,                 1.3526,                0.57225,                0.12331,                0.12803,                 0.0941,                 1.0821,                 1.9189,                 1.2327,               0.009109,               0.009109,               0.009109
                     11,                 1.2897,                 2.9796,                 1.3464,                0.52503,                 0.1305,                0.12861,                0.09348,                  1.075,                 1.8801,                 1.2275,                0.00901,                0.00901,                0.00901
                     12,                 1.2804,                 2.9378,                 1.3392,                0.51483,                0.14313,                0.13533,                0.09896,                 1.0658,                 1.8563,                 1.2186,               0.008911,               0.008911,               0.008911
                     13,                 1.2673,                 2.8941,                 1.3302,                0.53515,                0.14264,                0.14053,                0.10422,                 1.0534,                 1.8148,                 1.2128,               0.008812,               0.008812,               0.008812
                     14,                 1.2623,                 2.8651,                 1.3257,                0.55834,                0.13723,                0.14293,                0.10615,                 1.0455,                 1.7989,                 1.2039,               0.008713,               0.008713,               0.008713
                     15,                  1.253,                 2.8305,                 1.3189,                0.51855,                0.15111,                0.14887,                0.11089,                  1.036,                  1.766,                    1.2,               0.008614,               0.008614,               0.008614
                     16,                 1.2481,                 2.8024,                 1.3173,                0.53257,                0.15555,                0.15512,                0.11483,                 1.0284,                 1.7435,                 1.1934,               0.008515,               0.008515,               0.008515
                     17,                 1.2426,                 2.7782,                 1.3106,                0.51815,                0.16272,                0.15925,                 0.1193,                 1.0264,                 1.7339,                 1.1924,               0.008416,               0.008416,               0.008416
                     18,                 1.2369,                 2.7543,                 1.3052,                 0.5064,                0.15999,                0.15957,                0.11961,                 1.0202,                  1.721,                 1.1865,               0.008317,               0.008317,               0.008317
                     19,                 1.2323,                  2.732,                  1.303,                0.50268,                0.16113,                0.15816,                0.11764,                 1.0182,                  1.712,                 1.1846,               0.008218,               0.008218,               0.008218
                     20,                 1.2302,                 2.7137,                 1.3001,                0.52034,                0.15793,                0.16029,                0.11937,                 1.0127,                 1.7061,                 1.1806,               0.008119,               0.008119,               0.008119
                     21,                 1.2248,                 2.6988,                 1.2969,                0.52094,                0.15811,                0.16077,                0.12025,                 1.0085,                 1.6985,                 1.1771,                0.00802,                0.00802,                0.00802
                     22,                 1.2166,                 2.6724,                 1.2932,                0.49586,                0.16455,                0.16311,                0.12195,                 1.0044,                 1.6865,                 1.1747,               0.007921,               0.007921,               0.007921
                     23,                 1.2154,                 2.6545,                 1.2917,                0.49622,                0.16675,                0.16338,                0.12251,                 1.0023,                  1.683,                 1.1732,               0.007822,               0.007822,               0.007822
                     24,                 1.2143,                 2.6433,                 1.2901,                0.51401,                0.16497,                 0.1651,                0.12356,                 1.0003,                 1.6785,                 1.1725,               0.007723,               0.007723,               0.007723
                     25,                 1.2069,                 2.6231,                 1.2861,                0.49204,                0.17005,                0.16672,                0.12513,                0.99875,                  1.674,                 1.1712,               0.007624,               0.007624,               0.007624
                     26,                 1.2014,                 2.6106,                 1.2824,                0.49352,                0.17214,                0.16796,                0.12584,                0.99766,                 1.6721,                 1.1703,               0.007525,               0.007525,               0.007525
                     27,                 1.2026,                 2.5964,                 1.2818,                0.48647,                0.17324,                0.16873,                0.12681,                0.99664,                 1.6694,                 1.1703,               0.007426,               0.007426,               0.007426
                     28,                 1.1991,                 2.5848,                 1.2807,                0.48659,                0.17443,                0.16886,                0.12672,                0.99493,                 1.6649,                 1.1693,               0.007327,               0.007327,               0.007327
                     29,                 1.1951,                 2.5728,                 1.2783,                0.48259,                0.17825,                0.16931,                0.12748,                0.99405,                   1.66,                 1.1688,               0.007228,               0.007228,               0.007228
                     30,                 1.1919,                 2.5594,                 1.2751,                0.47919,                0.17871,                0.17088,                0.12892,                0.99286,                 1.6567,                 1.1675,               0.007129,               0.007129,               0.007129
                     31,                 1.1925,                 2.5468,                 1.2748,                0.47174,                0.18314,                 0.1717,                0.12965,                0.99137,                 1.6541,                  1.166,                0.00703,                0.00703,                0.00703
                     32,                 1.1885,                 2.5429,                 1.2715,                0.47681,                0.18428,                0.17247,                0.13022,                0.99056,                 1.6512,                 1.1651,               0.006931,               0.006931,               0.006931
                     33,                 1.1845,                 2.5211,                 1.2696,                0.47174,                0.18658,                0.17269,                0.13035,                0.98939,                 1.6492,                 1.1642,               0.006832,               0.006832,               0.006832
                     34,                 1.1811,                 2.5193,                 1.2662,                0.47184,                0.18653,                0.17314,                0.13057,                0.98877,                 1.6466,                 1.1635,               0.006733,               0.006733,               0.006733
                     35,                 1.1817,                 2.4993,                 1.2669,                0.46243,                0.18961,                0.17297,                0.13072,                0.98675,                 1.6452,                 1.1621,               0.006634,               0.006634,               0.006634
                     36,                 1.1637,                 2.4815,                 1.2572,                0.46396,                0.19051,                0.17341,                0.13097,                0.98585,                 1.6439,                 1.1611,               0.006535,               0.006535,               0.006535
                     37,                 1.1746,                 2.5088,                  1.264,                0.46507,                0.19242,                0.17417,                0.13153,                  0.985,                 1.6425,                 1.1603,               0.006436,               0.006436,               0.006436
                     38,                 1.1523,                  2.444,                 1.2501,                0.46567,                0.19363,                0.17447,                0.13159,                0.98464,                 1.6092,                 1.1599,               0.006337,               0.006337,               0.006337
                     39,                 1.1681,                 2.4843,                 1.2605,                0.46083,                0.19395,                0.17477,                0.13175,                0.98426,                 1.6083,                 1.1594,               0.006238,               0.006238,               0.006238
                     40,                 1.1706,                  2.489,                 1.2599,                0.45631,                0.19379,                0.17478,                 0.1319,                0.98374,                  1.608,                 1.1589,               0.006139,               0.006139,               0.006139
                     41,                 1.1704,                 2.4843,                 1.2611,                0.45481,                0.19518,                0.17544,                 0.1325,                0.98323,                  1.607,                 1.1583,                0.00604,                0.00604,                0.00604
                     42,                 1.1684,                 2.4666,                  1.257,                0.46724,                0.19154,                0.17719,                  0.134,                0.98261,                 1.6063,                 1.1581,               0.005941,               0.005941,               0.005941
                     43,                 1.1657,                 2.4574,                 1.2574,                0.47443,                0.19246,                0.17727,                0.13381,                0.98182,                 1.6065,                 1.1574,               0.005842,               0.005842,               0.005842
                     44,                 1.1621,                 2.4433,                 1.2543,                 0.4602,                0.19587,                0.17867,                0.13489,                0.98184,                 1.6057,                 1.1573,               0.005743,               0.005743,               0.005743
                     45,                 1.1585,                 2.4286,                 1.2512,                0.45294,                0.20071,                0.18058,                0.13627,                0.98106,                 1.6053,                 1.1566,               0.005644,               0.005644,               0.005644
