                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51943,                0.88222,                      1,                0.44878,             0.00023768,             0.00023768,             0.00023768
                      2,                0.39141,                0.87667,                      1,                0.45011,             0.00046783,             0.00046783,             0.00046783
                      3,                0.36314,                0.86611,                      1,                0.44727,             0.00069013,             0.00069013,             0.00069013
                      4,                0.36101,                0.88833,                      1,                0.44177,             0.00067866,             0.00067866,             0.00067866
                      5,                0.31837,                0.87722,                      1,                0.43779,             0.00066688,             0.00066688,             0.00066688
                      6,                0.29688,                0.87111,                      1,                0.44021,             0.00065509,             0.00065509,             0.00065509
                      7,                0.28274,                0.88111,                      1,                0.43054,             0.00064331,             0.00064331,             0.00064331
                      8,                0.25809,                0.86889,                      1,                0.43877,             0.00063153,             0.00063153,             0.00063153
                      9,                0.23699,                   0.88,                      1,                 0.4286,             0.00061975,             0.00061975,             0.00061975
                     10,                0.20514,                0.88667,                      1,                 0.4269,             0.00060797,             0.00060797,             0.00060797
                     11,                0.18694,                0.89333,                      1,                0.41678,             0.00059619,             0.00059619,             0.00059619
                     12,                0.17965,                0.86722,                      1,                 0.4395,             0.00058441,             0.00058441,             0.00058441
                     13,                0.18694,                0.87444,                      1,                0.43735,             0.00057263,             0.00057263,             0.00057263
                     14,                0.16218,                0.88056,                      1,                0.42789,             0.00056085,             0.00056085,             0.00056085
                     15,                0.14849,                  0.875,                      1,                0.42658,             0.00054907,             0.00054907,             0.00054907
                     16,                0.14259,                0.88667,                      1,                0.42102,             0.00053728,             0.00053728,             0.00053728
                     17,                0.13434,                0.87222,                      1,                0.43247,              0.0005255,              0.0005255,              0.0005255
                     18,                0.14179,                  0.865,                      1,                0.43893,             0.00051372,             0.00051372,             0.00051372
                     19,                0.13429,                0.87167,                      1,                 0.4294,             0.00050194,             0.00050194,             0.00050194
                     20,                0.09418,                0.89611,                      1,                0.41721,             0.00049016,             0.00049016,             0.00049016
                     21,                 0.0838,                0.88611,                      1,                0.42028,             0.00047838,             0.00047838,             0.00047838
                     22,                0.09062,                0.88167,                      1,                 0.4265,              0.0004666,              0.0004666,              0.0004666
                     23,                0.12249,                0.89278,                      1,                0.41384,             0.00045482,             0.00045482,             0.00045482
                     24,                0.08403,                0.88833,                      1,                0.41912,             0.00044304,             0.00044304,             0.00044304
                     25,                0.06506,                0.87778,                      1,                0.42933,             0.00043126,             0.00043126,             0.00043126
                     26,                0.08801,                0.89944,                      1,                0.41132,             0.00041947,             0.00041947,             0.00041947
                     27,                0.09108,                   0.89,                      1,                0.41834,             0.00040769,             0.00040769,             0.00040769
                     28,                0.07642,                0.89889,                      1,                0.41128,             0.00039591,             0.00039591,             0.00039591
                     29,                0.05351,                0.88778,                      1,                0.41849,             0.00038413,             0.00038413,             0.00038413
                     30,                0.06345,                0.88444,                      1,                0.42055,             0.00037235,             0.00037235,             0.00037235
                     31,                0.06739,                0.86944,                      1,                 0.4341,             0.00036057,             0.00036057,             0.00036057
                     32,                0.05702,                0.88611,                      1,                0.42074,             0.00034879,             0.00034879,             0.00034879
                     33,                0.05027,                0.88778,                      1,                0.41754,             0.00033701,             0.00033701,             0.00033701
                     34,                0.04511,                0.89111,                      1,                0.41575,             0.00032523,             0.00032523,             0.00032523
                     35,                0.04825,                0.89444,                      1,                0.41236,             0.00031345,             0.00031345,             0.00031345
                     36,                0.03629,                    0.9,                      1,                0.40938,             0.00030167,             0.00030167,             0.00030167
                     37,                0.04572,                0.89444,                      1,                 0.4113,             0.00028988,             0.00028988,             0.00028988
                     38,                0.04408,                0.87722,                      1,                0.42711,              0.0002781,              0.0002781,              0.0002781
                     39,                0.04801,                0.90111,                      1,                0.40894,             0.00026632,             0.00026632,             0.00026632
                     40,                0.02724,                0.90167,                      1,                0.40769,             0.00025454,             0.00025454,             0.00025454
                     41,                0.02958,                0.90278,                      1,                0.40679,             0.00024276,             0.00024276,             0.00024276
