                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.02704,                0.88889,                      1,                0.41677,             0.00023098,             0.00023098,             0.00023098
                     43,                0.03026,                0.90333,                      1,                0.40586,              0.0002192,              0.0002192,              0.0002192
                     44,                0.02855,                0.91278,                      1,                0.39987,             0.00020742,             0.00020742,             0.00020742
                     45,                 0.0291,                0.90333,                      1,                 0.4081,             0.00019564,             0.00019564,             0.00019564
                     46,                 0.0215,                0.91056,                      1,                0.40238,             0.00018385,             0.00018385,             0.00018385
                     47,                0.03369,                0.90389,                      1,                0.40493,             0.00017207,             0.00017207,             0.00017207
                     48,                0.02016,                  0.905,                      1,                0.40364,             0.00016029,             0.00016029,             0.00016029
                     49,                0.01779,                  0.905,                      1,                  0.403,             0.00014851,             0.00014851,             0.00014851
                     50,                0.02775,                0.89667,                      1,                 0.4102,             0.00013673,             0.00013673,             0.00013673
                     51,                0.01877,                0.91056,                      1,                0.39989,             0.00012495,             0.00012495,             0.00012495
                     52,                0.01743,                0.90778,                      1,                0.40222,             0.00011317,             0.00011317,             0.00011317
                     53,                0.01682,                  0.905,                      1,                 0.4038,             0.00010139,             0.00010139,             0.00010139
                     54,                0.01988,                0.89944,                      1,                0.40916,             8.9607e-05,             8.9607e-05,             8.9607e-05
                     55,                0.02361,                0.90667,                      1,                0.39979,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     56,                 0.0173,                0.90778,                      1,                 0.4018,             6.6045e-05,             6.6045e-05,             6.6045e-05
                     57,                0.01371,                0.90111,                      1,                0.40726,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     58,                0.01703,                0.91278,                      1,                0.39958,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     59,                0.01722,                0.91056,                      1,                0.39971,             3.0702e-05,             3.0702e-05,             3.0702e-05
                     60,                0.01337,                   0.91,                      1,                0.40015,             1.8921e-05,             1.8921e-05,             1.8921e-05
