                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3123,                 5.6186,                 1.3473,                0.79648,                 0.0036,                0.00314,                0.00257,                0.83464,                 5.1424,                  1.144,             2.6658e-06,             2.6658e-06,             2.6658e-06
                      2,                  1.024,                 2.9882,                 1.1569,                0.87326,                 0.0068,                0.00655,                 0.0053,                0.83761,                 4.5581,                 1.1418,             5.1565e-06,             5.1565e-06,             5.1565e-06
                      3,                0.82482,                  2.039,                 1.0528,                0.68574,                0.01791,                0.01058,                0.00849,                0.86789,                 4.2096,                 1.1567,             7.4712e-06,             7.4712e-06,             7.4712e-06
                      4,                0.71045,                 1.7278,                 1.0006,                0.72476,                0.02381,                0.01504,                0.01198,                0.89419,                 3.9452,                 1.1777,              7.208e-06,              7.208e-06,              7.208e-06
                      5,                 0.6542,                  1.535,                 0.9714,                0.77732,                0.02469,                 0.0179,                0.01415,                0.89796,                 3.6252,                 1.1863,              6.944e-06,              6.944e-06,              6.944e-06
                      6,                0.62569,                 1.4677,                0.96266,                0.76333,                0.02886,                0.01954,                 0.0153,                0.91782,                 3.5559,                  1.204,               6.68e-06,               6.68e-06,               6.68e-06
                      7,                0.59559,                 1.3601,                0.94852,                0.77767,                0.03045,                0.02125,                0.01655,                0.93596,                 3.4227,                 1.2175,              6.416e-06,              6.416e-06,              6.416e-06
                      8,                0.58321,                 1.3195,                0.94411,                0.78394,                0.03103,                0.02236,                0.01754,                0.96336,                 3.4653,                  1.245,              6.152e-06,              6.152e-06,              6.152e-06
                      9,                0.56051,                 1.2584,                0.93605,                0.79414,                0.03025,                0.02326,                0.01806,                0.97129,                 3.3981,                 1.2528,              5.888e-06,              5.888e-06,              5.888e-06
                     10,                0.54885,                  1.223,                0.93346,                0.78775,                0.03219,                0.02421,                0.01884,                0.96665,                 3.4349,                  1.249,              5.624e-06,              5.624e-06,              5.624e-06
                     11,                0.54531,                 1.2249,                0.93196,                0.79838,                0.02941,                 0.0244,                0.01894,                 0.9669,                 3.3795,                 1.2494,               5.36e-06,               5.36e-06,               5.36e-06
                     12,                0.53615,                 1.1937,                0.92816,                0.77322,                0.03356,                0.02574,                0.01995,                0.96878,                 3.3886,                 1.2522,              5.096e-06,              5.096e-06,              5.096e-06
                     13,                0.52983,                 1.1692,                0.92481,                0.74622,                 0.0376,                0.02636,                0.02031,                0.98008,                 3.4015,                 1.2615,              4.832e-06,              4.832e-06,              4.832e-06
                     14,                0.52046,                 1.1294,                0.92045,                0.70505,                0.04418,                0.02648,                0.02044,                0.98484,                 3.3675,                 1.2682,              4.568e-06,              4.568e-06,              4.568e-06
                     15,                0.51517,                 1.1214,                0.92048,                0.72076,                0.04282,                  0.027,                0.02076,                0.99014,                 3.3449,                 1.2727,              4.304e-06,              4.304e-06,              4.304e-06
                     16,                0.50647,                 1.1059,                0.91694,                0.72801,                0.04334,                0.02757,                0.02125,                0.98874,                 3.3435,                 1.2722,               4.04e-06,               4.04e-06,               4.04e-06
                     17,                0.50474,                 1.0974,                 0.9146,                0.72954,                 0.0434,                0.02796,                0.02147,                0.98973,                 3.3148,                 1.2727,              3.776e-06,              3.776e-06,              3.776e-06
                     18,                0.49671,                 1.0755,                0.91413,                0.72493,                 0.0435,                0.02825,                0.02171,                0.98558,                 3.3335,                 1.2689,              3.512e-06,              3.512e-06,              3.512e-06
                     19,                0.49764,                 1.0731,                0.91451,                0.71349,                0.04362,                0.02832,                 0.0218,                0.98599,                 3.3288,                 1.2731,              3.248e-06,              3.248e-06,              3.248e-06
                     20,                0.49284,                 1.0496,                0.91244,                0.71468,                0.04271,                0.02879,                0.02217,                0.98476,                 3.3403,                 1.2701,              2.984e-06,              2.984e-06,              2.984e-06
                     21,                 1.2845,                 4.5877,                  1.317,                0.70811,                0.04337,                0.02809,                0.02143,                 1.0153,                 3.2252,                 1.2906,               2.72e-06,               2.72e-06,               2.72e-06
                     22,                 1.2724,                 4.4933,                 1.3039,                0.69183,                0.04542,                0.02854,                0.02179,                 1.0121,                 3.2065,                 1.2866,              2.456e-06,              2.456e-06,              2.456e-06
                     23,                 1.2619,                 4.4355,                 1.3005,                0.71391,                0.04001,                0.02867,                0.02206,                 1.0086,                 3.2151,                  1.284,              2.192e-06,              2.192e-06,              2.192e-06
                     24,                 1.2478,                 4.3977,                 1.2949,                0.69717,                0.04439,                0.02887,                0.02218,                 1.0129,                 3.2578,                  1.287,              1.928e-06,              1.928e-06,              1.928e-06
                     25,                 1.2457,                 4.3484,                 1.2912,                 0.6776,                0.04925,                0.02942,                0.02263,                 1.0132,                 3.2261,                  1.286,              1.664e-06,              1.664e-06,              1.664e-06
                     26,                 1.2352,                 4.3232,                 1.2849,                 0.6904,                0.04743,                0.02971,                0.02291,                 1.0095,                 3.2349,                 1.2836,                1.4e-06,                1.4e-06,                1.4e-06
                     27,                 1.2373,                 4.2996,                 1.2858,                0.67141,                0.05221,                0.02988,                0.02313,                 1.0071,                 3.1957,                 1.2818,              1.136e-06,              1.136e-06,              1.136e-06
                     28,                 1.2307,                 4.2842,                 1.2842,                0.68662,                0.04779,                 0.0302,                0.02338,                 1.0092,                 3.2009,                  1.282,               8.72e-07,               8.72e-07,               8.72e-07
                     29,                 1.2292,                 4.2773,                  1.284,                0.67486,                0.05091,                0.03027,                0.02345,                 1.0052,                 3.2272,                 1.2803,               6.08e-07,               6.08e-07,               6.08e-07
                     30,                 1.2265,                 4.2594,                 1.2813,                  0.676,                0.05152,                0.03025,                 0.0234,                 1.0047,                 3.2109,                 1.2791,               3.44e-07,               3.44e-07,               3.44e-07
