                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62817,                0.59944,                      1,                0.67123,                0.07004,              0.0033289,              0.0033289
                      2,                0.67283,                0.55056,                      1,                0.69845,                0.03993,              0.0065523,              0.0065523
                      3,                0.68017,                0.58889,                      1,                0.68587,              0.0097101,              0.0096657,              0.0096657
                      4,                0.67875,                0.58278,                      1,                0.70493,               0.009505,               0.009505,               0.009505
                      5,                0.67618,                0.63389,                      1,                0.65695,                0.00934,                0.00934,                0.00934
                      6,                0.68095,                0.59722,                      1,                0.68066,               0.009175,               0.009175,               0.009175
                      7,                0.69172,                0.60667,                      1,                0.66938,                0.00901,                0.00901,                0.00901
                      8,                0.70459,                0.61056,                      1,                0.68024,               0.008845,               0.008845,               0.008845
                      9,                0.70652,                0.59944,                      1,                0.67407,                0.00868,                0.00868,                0.00868
                     10,                0.69606,                0.62611,                      1,                0.66319,               0.008515,               0.008515,               0.008515
                     11,                0.66268,                0.59944,                      1,                0.70024,                0.00835,                0.00835,                0.00835
                     12,                0.67992,                0.59944,                      1,                0.70183,               0.008185,               0.008185,               0.008185
                     13,                0.69043,                0.59944,                      1,                0.70065,                0.00802,                0.00802,                0.00802
                     14,                0.71762,                  0.635,                      1,                0.66592,               0.007855,               0.007855,               0.007855
                     15,                0.69151,                0.60222,                      1,                0.69736,                0.00769,                0.00769,                0.00769
                     16,                0.72288,                0.61778,                      1,                0.66352,               0.007525,               0.007525,               0.007525
                     17,                0.68565,                0.61889,                      1,                0.67161,                0.00736,                0.00736,                0.00736
                     18,                0.66928,                0.62556,                      1,                0.66626,               0.007195,               0.007195,               0.007195
                     19,                0.68123,                0.62444,                      1,                0.68144,                0.00703,                0.00703,                0.00703
                     20,                 0.6781,                0.59944,                      1,                0.69842,               0.006865,               0.006865,               0.006865
                     21,                0.67412,                0.63722,                      1,                0.65909,                 0.0067,                 0.0067,                 0.0067
                     22,                0.67785,                0.61944,                      1,                0.67616,               0.006535,               0.006535,               0.006535
                     23,                 0.6647,                0.62722,                      1,                 0.6682,                0.00637,                0.00637,                0.00637
                     24,                0.71579,                0.59944,                      1,                  0.686,               0.006205,               0.006205,               0.006205
                     25,                0.67697,                0.61611,                      1,                0.66465,                0.00604,                0.00604,                0.00604
                     26,                0.66557,                0.63056,                      1,                0.66092,               0.005875,               0.005875,               0.005875
                     27,                0.66182,                0.59944,                      1,                    nan,                0.00571,                0.00571,                0.00571
                     28,                0.66315,                0.63444,                      1,                0.65676,               0.005545,               0.005545,               0.005545
                     29,                0.66453,                0.61111,                      1,                0.67201,                0.00538,                0.00538,                0.00538
                     30,                0.67087,                0.59944,                      1,                0.67734,               0.005215,               0.005215,               0.005215
                     31,                0.65879,                0.63889,                      1,                0.66739,                0.00505,                0.00505,                0.00505
                     32,                0.66849,                0.59944,                      1,                 0.6958,               0.004885,               0.004885,               0.004885
                     33,                0.66047,                  0.615,                      1,                0.66536,                0.00472,                0.00472,                0.00472
                     34,                0.66922,                0.62778,                      1,                 0.6622,               0.004555,               0.004555,               0.004555
                     35,                 0.6629,                   0.63,                      1,                0.66984,                0.00439,                0.00439,                0.00439
                     36,                0.66046,                0.59944,                      1,                 0.6811,               0.004225,               0.004225,               0.004225
                     37,                0.65614,                0.63444,                      1,                0.65966,                0.00406,                0.00406,                0.00406
                     38,                0.68567,                0.62056,                      1,                0.66342,               0.003895,               0.003895,               0.003895
                     39,                0.65848,                0.64111,                      1,                0.65598,                0.00373,                0.00373,                0.00373
                     40,                0.65575,                0.62833,                      1,                0.66064,               0.003565,               0.003565,               0.003565
                     41,                0.65482,                0.59944,                      1,                0.67999,                 0.0034,                 0.0034,                 0.0034
                     42,                 0.6965,                0.63333,                      1,                 0.6604,               0.003235,               0.003235,               0.003235
                     43,                0.67026,                0.63167,                      1,                0.66173,                0.00307,                0.00307,                0.00307
                     44,                0.66149,                0.59944,                      1,                0.69002,               0.002905,               0.002905,               0.002905
                     45,                0.65816,                0.59944,                      1,                0.69011,                0.00274,                0.00274,                0.00274
                     46,                0.66466,                0.61833,                      1,                0.66629,               0.002575,               0.002575,               0.002575
                     47,                0.66986,                0.59944,                      1,                0.67845,                0.00241,                0.00241,                0.00241
                     48,                0.65509,                    0.6,                      1,                0.69555,               0.002245,               0.002245,               0.002245
                     49,                0.65848,                0.59944,                      1,                0.67354,                0.00208,                0.00208,                0.00208
                     50,                0.66296,                0.63389,                      1,                0.65949,               0.001915,               0.001915,               0.001915
                     51,                0.65088,                0.63278,                      1,                0.66126,                0.00175,                0.00175,                0.00175
                     52,                0.65358,                0.63056,                      1,                0.66119,               0.001585,               0.001585,               0.001585
                     53,                0.65136,                0.63389,                      1,                0.65933,                0.00142,                0.00142,                0.00142
                     54,                0.65147,                    0.6,                      1,                0.67662,               0.001255,               0.001255,               0.001255
                     55,                0.65841,                0.59944,                      1,                0.67692,                0.00109,                0.00109,                0.00109
                     56,                0.65347,                0.60222,                      1,                0.67658,               0.000925,               0.000925,               0.000925
                     57,                0.65296,                0.60111,                      1,                0.67544,                0.00076,                0.00076,                0.00076
                     58,                0.65303,                0.59667,                      1,                0.67647,               0.000595,               0.000595,               0.000595
                     59,                0.65318,                0.60278,                      1,                 0.6737,                0.00043,                0.00043,                0.00043
                     60,                0.65203,                0.60444,                      1,                0.67416,               0.000265,               0.000265,               0.000265
