                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88734,                0.98397,                 1.9389,                0.36128,                0.34665,                0.28506,                0.15902,                 3.1714,                 4.5129,                 3.4704,             0.00041462,             0.00041462,             0.00041462
                     36,                0.88282,                0.96909,                 1.9319,                0.36173,                0.35136,                0.29811,                0.16998,                 3.1875,                 4.4146,                 3.4589,             0.00040844,             0.00040844,             0.00040844
                     37,                0.88598,                0.97774,                 1.9321,                0.35288,                 0.3391,                0.28454,                0.15623,                 3.1839,                 4.3567,                 3.4633,             0.00040225,             0.00040225,             0.00040225
                     38,                0.86457,                0.94086,                 1.9159,                0.39771,                0.33329,                0.30208,                 0.1699,                 3.1437,                 4.2994,                 3.4501,             0.00039606,             0.00039606,             0.00039606
                     39,                0.86411,                0.95833,                 1.9237,                0.37192,                 0.3472,                0.29194,                0.16625,                 3.1537,                 4.3999,                 3.4402,             0.00038988,             0.00038988,             0.00038988
                     40,                0.85874,                  0.951,                 1.9143,                0.37654,                0.34962,                0.29966,                0.17032,                 3.1624,                 4.3186,                 3.4199,             0.00038369,             0.00038369,             0.00038369
                     41,                0.85946,                0.93063,                 1.9125,                0.38199,                  0.375,                0.31269,                0.17625,                 3.1313,                 4.2919,                 3.4019,              0.0003775,              0.0003775,              0.0003775
                     42,                0.85384,                0.93962,                 1.9173,                 0.3838,                0.34434,                0.30259,                0.17181,                 3.1391,                 4.2657,                    3.4,             0.00037131,             0.00037131,             0.00037131
                     43,                0.85985,                0.94741,                 1.9232,                0.38938,                0.37154,                0.30935,                0.17408,                 3.1502,                 4.2608,                 3.4085,             0.00036513,             0.00036513,             0.00036513
                     44,                 0.8344,                0.93033,                 1.9051,                0.42599,                 0.3671,                0.32507,                0.18407,                 3.1349,                  4.172,                 3.4164,             0.00035894,             0.00035894,             0.00035894
                     45,                0.82656,                0.89612,                 1.8985,                 0.3908,                   0.36,                0.32054,                0.18146,                 3.1608,                 4.2835,                 3.4354,             0.00035275,             0.00035275,             0.00035275
                     46,                0.83911,                 0.9072,                 1.9094,                 0.4002,                0.38026,                0.33098,                0.18603,                 3.1501,                 4.1683,                 3.4327,             0.00034656,             0.00034656,             0.00034656
                     47,                 0.8341,                0.89228,                 1.9148,                0.41848,                0.37341,                0.33285,                0.19096,                 3.1493,                 4.2637,                 3.4516,             0.00034038,             0.00034038,             0.00034038
                     48,                0.81506,                0.87933,                 1.9037,                0.39123,                0.37321,                0.32946,                0.18829,                 3.1308,                 4.1854,                 3.3968,             0.00033419,             0.00033419,             0.00033419
                     49,                0.80918,                0.85323,                 1.8896,                0.42124,                0.38066,                0.33759,                0.19205,                  3.134,                 4.2924,                 3.4097,               0.000328,               0.000328,               0.000328
                     50,                0.80291,                0.87016,                 1.8933,                0.40635,                0.38519,                0.33963,                0.19561,                 3.1026,                 4.1739,                 3.4008,             0.00032181,             0.00032181,             0.00032181
                     51,                0.80953,                0.86524,                 1.9004,                0.44053,                 0.3891,                0.35358,                0.20553,                 3.1013,                 4.0695,                  3.398,             0.00031562,             0.00031562,             0.00031562
                     52,                0.79274,                0.82621,                 1.8792,                0.42111,                0.39576,                0.35034,                0.20374,                  3.107,                 4.0792,                 3.4088,             0.00030944,             0.00030944,             0.00030944
                     53,                0.79256,                0.83317,                 1.8919,                0.42361,                 0.4127,                0.36221,                0.20704,                 3.1169,                  4.001,                 3.4211,             0.00030325,             0.00030325,             0.00030325
                     54,                0.77557,                0.80854,                 1.8769,                0.44852,                0.38348,                0.36376,                0.21033,                  3.077,                 4.0034,                 3.3929,             0.00029706,             0.00029706,             0.00029706
                     55,                0.77815,                0.82261,                 1.8792,                 0.4117,                0.40063,                0.35401,                0.20202,                 3.1204,                 4.1101,                  3.406,             0.00029088,             0.00029088,             0.00029088
                     56,                0.79383,                0.83142,                 1.8976,                0.43761,                0.40446,                0.36551,                0.21056,                 3.1123,                 4.0233,                 3.4038,             0.00028469,             0.00028469,             0.00028469
                     57,                0.77639,                0.80996,                 1.8881,                 0.4526,                0.40104,                0.36885,                0.21006,                 3.1002,                 4.0404,                 3.4118,              0.0002785,              0.0002785,              0.0002785
                     58,                0.76996,                0.80481,                 1.8791,                0.43788,                0.40134,                0.37295,                0.21253,                 3.1047,                 4.0449,                 3.3932,             0.00027231,             0.00027231,             0.00027231
                     59,                0.77829,                0.80924,                 1.8809,                 0.4615,                0.39384,                0.38022,                0.21993,                 3.1052,                 3.9124,                 3.3829,             0.00026613,             0.00026613,             0.00026613
                     60,                0.75106,                0.78328,                  1.866,                0.48005,                0.39983,                0.38635,                0.22338,                 3.0741,                 3.9123,                 3.3645,             0.00025994,             0.00025994,             0.00025994
                     61,                0.72103,                0.73213,                 1.8496,                0.46187,                0.38607,                0.37243,                0.21688,                 3.0551,                 4.0372,                 3.3367,             0.00025375,             0.00025375,             0.00025375
                     62,                 0.7564,                0.79098,                 1.8713,                0.44862,                0.43105,                0.38974,                0.22281,                 3.0834,                  3.913,                 3.3462,             0.00024756,             0.00024756,             0.00024756
                     63,                0.74114,                0.77631,                  1.865,                0.43807,                0.41901,                0.37949,                0.21743,                 3.0562,                 3.9799,                 3.3619,             0.00024137,             0.00024137,             0.00024137
                     64,                0.71418,                 0.7283,                 1.8497,                 0.4541,                0.41768,                   0.39,                0.22609,                 3.0659,                 3.9093,                 3.3691,             0.00023519,             0.00023519,             0.00023519
                     65,                0.71114,                0.72315,                 1.8455,                0.45921,                0.42355,                0.39697,                0.23167,                  3.045,                 3.9047,                 3.3618,               0.000229,               0.000229,               0.000229
                     66,                0.72578,                0.74521,                 1.8602,                0.46694,                0.41339,                0.39209,                0.22621,                  3.081,                 3.9105,                 3.3823,             0.00022281,             0.00022281,             0.00022281
                     67,                 0.7238,                0.73587,                 1.8593,                0.46057,                0.41944,                0.39188,                0.22314,                 3.0699,                 3.9588,                 3.3679,             0.00021662,             0.00021662,             0.00021662
                     68,                0.72124,                0.73361,                 1.8587,                 0.4496,                0.42546,                0.38655,                0.22429,                 3.0668,                 3.9205,                 3.3702,             0.00021044,             0.00021044,             0.00021044
                     69,                0.71213,                0.70871,                 1.8442,                 0.4811,                0.41638,                0.39372,                0.22733,                  3.071,                 3.9115,                 3.3625,             0.00020425,             0.00020425,             0.00020425
                     70,                0.71524,                0.71092,                 1.8522,                0.46368,                0.42433,                0.39325,                0.22638,                 3.0659,                 3.9181,                  3.369,             0.00019806,             0.00019806,             0.00019806
                     71,                0.69649,                0.68062,                 1.8357,                0.47773,                0.44063,                0.40819,                 0.2357,                 3.0706,                 3.8202,                 3.3618,             0.00019188,             0.00019188,             0.00019188
                     72,                0.69324,                0.68567,                 1.8367,                0.47648,                0.41737,                0.40483,                0.23728,                 3.0456,                 3.8443,                 3.3235,             0.00018569,             0.00018569,             0.00018569
                     73,                0.67825,                0.66874,                  1.842,                 0.4952,                0.42053,                0.40811,                 0.2393,                  3.064,                 3.8847,                 3.3548,              0.0001795,              0.0001795,              0.0001795
                     74,                0.71106,                0.71315,                 1.8488,                0.49297,                0.43789,                0.41268,                0.24043,                 3.0547,                 3.8088,                  3.357,             0.00017331,             0.00017331,             0.00017331
                     75,                0.68383,                0.67575,                 1.8297,                0.48081,                0.43353,                0.40971,                0.24095,                 3.0561,                 3.8718,                 3.3479,             0.00016713,             0.00016713,             0.00016713
                     76,                0.67396,                0.65448,                 1.8314,                0.51457,                0.41973,                0.41454,                 0.2435,                 3.0541,                 3.8207,                 3.3331,             0.00016094,             0.00016094,             0.00016094
                     77,                0.68765,                0.67408,                 1.8354,                0.49653,                0.43877,                0.41799,                0.24471,                 3.0566,                  3.793,                 3.3524,             0.00015475,             0.00015475,             0.00015475
                     78,                0.68736,                0.67455,                 1.8467,                0.50426,                0.44465,                0.42309,                0.24804,                 3.0404,                  3.743,                 3.3182,             0.00014856,             0.00014856,             0.00014856
                     79,                0.66656,                0.65302,                 1.8287,                0.48765,                 0.4364,                0.41393,                0.24371,                 3.0542,                 3.8402,                 3.3323,             0.00014237,             0.00014237,             0.00014237
                     80,                0.65369,                0.62983,                 1.8216,                  0.498,                 0.4417,                0.42606,                 0.2507,                 3.0285,                 3.8446,                 3.3208,             0.00013619,             0.00013619,             0.00013619
                     81,                 0.6652,                0.65351,                 1.8313,                0.51003,                0.44074,                0.41793,                0.24342,                 3.0624,                 3.8815,                 3.3599,                0.00013,                0.00013,                0.00013
                     82,                0.64112,                 0.6219,                 1.8147,                0.50085,                0.43458,                0.41562,                0.24299,                  3.053,                 3.8626,                 3.3428,             0.00012381,             0.00012381,             0.00012381
                     83,                0.64905,                0.61855,                 1.8211,                0.50413,                0.43591,                0.42411,                0.25107,                 3.0323,                 3.8024,                  3.328,             0.00011763,             0.00011763,             0.00011763
                     84,                0.63524,                0.60865,                 1.8125,                0.50724,                0.43654,                0.42265,                0.24831,                 3.0636,                 3.8334,                 3.3611,             0.00011144,             0.00011144,             0.00011144
                     85,                0.64104,                0.59548,                 1.8177,                0.52034,                0.43575,                0.43156,                  0.254,                 3.0432,                 3.8634,                 3.3466,             0.00010525,             0.00010525,             0.00010525
                     86,                 0.6344,                0.59463,                  1.807,                0.51375,                0.44419,                0.43111,                0.25236,                 3.0308,                 3.8308,                 3.3306,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.62871,                0.59712,                 1.8063,                0.52049,                0.43482,                0.43225,                0.25499,                 3.0244,                 3.8029,                 3.3323,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.63794,                0.59136,                 1.8116,                0.52655,                0.43976,                0.43186,                0.25475,                  3.021,                 3.8106,                 3.3233,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.61293,                0.56022,                 1.8024,                0.52558,                0.43738,                 0.4253,                0.24921,                 3.0266,                 3.8752,                 3.3331,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.62226,                0.57456,                 1.8138,                0.50208,                0.44946,                0.43165,                0.25264,                 3.0354,                 3.8085,                 3.3413,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                 2.3014,                 2.1684,                 2.7364,                0.53102,                0.43552,                0.43939,                0.25848,                 3.0334,                 3.7302,                   3.33,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                 2.2422,                 1.9829,                 2.6984,                0.52414,                0.45033,                0.44111,                  0.259,                 3.0334,                 3.7031,                 3.3384,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                 2.2027,                 1.9641,                  2.671,                0.53842,                0.43582,                0.44325,                0.26324,                 3.0029,                 3.7348,                 3.3136,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                 2.1518,                 1.8451,                  2.634,                  0.518,                0.45313,                0.44332,                0.26227,                 3.0065,                 3.7527,                 3.3203,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                 2.1473,                 1.7626,                 2.6056,                0.53956,                0.45076,                0.45073,                0.26824,                 3.0051,                 3.6997,                 3.3136,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                 2.1217,                 1.7279,                 2.6046,                0.53644,                0.45769,                0.45028,                0.26883,                      3,                  3.755,                 3.3365,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                 2.0889,                 1.6587,                  2.585,                 0.5476,                0.44638,                0.45295,                0.26923,                 3.0126,                 3.7663,                 3.3352,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                 2.0799,                 1.6681,                  2.573,                0.55439,                0.44199,                0.45425,                0.27059,                 3.0103,                 3.7481,                 3.3346,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                 2.0686,                 1.6078,                 2.5593,                 0.5258,                0.46318,                0.45343,                0.26973,                 3.0181,                 3.7589,                 3.3369,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                 2.0375,                 1.5649,                 2.5299,                0.53544,                0.46591,                0.45659,                0.27143,                 3.0136,                 3.7464,                 3.3355,             1.2438e-05,             1.2438e-05,             1.2438e-05
