                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3845,                 5.5403,                 1.3764,                0.53033,                0.02886,                 0.0213,                0.01371,                 1.2811,                 3.1781,                 1.3498,               0.070003,               0.003333,               0.003333
                      2,                 1.4955,                  4.637,                 1.4807,                 0.4871,                 0.0415,                0.02568,                0.01649,                 1.3517,                 3.0041,                 1.4275,               0.039838,              0.0065013,              0.0065013
                      3,                 1.5561,                 4.4789,                 1.5353,                0.39886,                0.03986,                0.02472,                0.01597,                 1.3948,                  2.932,                 1.4875,              0.0095083,              0.0095047,              0.0095047
                      4,                 1.5597,                 4.3637,                 1.5507,                0.45667,                 0.0435,                0.03288,                0.02141,                 1.3586,                 2.7716,                 1.4639,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.5134,                 4.1409,                 1.5196,                0.47935,                 0.0516,                0.03933,                 0.0265,                 1.3191,                 2.6666,                 1.4309,                0.00901,                0.00901,                0.00901
                      6,                  1.478,                 3.9609,                 1.4947,                0.48796,                   0.06,                0.04803,                0.03323,                 1.2783,                 2.5331,                 1.3985,              0.0087625,              0.0087625,              0.0087625
                      7,                   1.46,                 3.8169,                 1.4793,                0.50085,                0.06645,                0.05423,                0.03875,                 1.2551,                 2.4783,                 1.3773,               0.008515,               0.008515,               0.008515
                      8,                 1.4409,                 3.6975,                 1.4657,                0.53189,                0.07251,                0.05977,                0.04259,                 1.2403,                  2.418,                 1.3604,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.4277,                 3.6135,                 1.4573,                0.55424,                0.07537,                 0.0667,                0.04739,                  1.228,                 2.3708,                 1.3524,                0.00802,                0.00802,                0.00802
                     10,                  1.418,                 3.5371,                 1.4477,                0.54474,                0.08184,                0.06938,                0.04965,                 1.2086,                 2.3116,                 1.3339,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.4055,                 3.4798,                 1.4416,                0.55024,                0.08633,                0.07263,                0.05164,                 1.1974,                 2.2729,                 1.3291,               0.007525,               0.007525,               0.007525
                     12,                 1.4004,                 3.4337,                 1.4343,                0.54493,                0.09113,                0.07692,                0.05522,                 1.1906,                 2.2627,                 1.3211,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.3897,                 3.3801,                 1.4253,                0.57375,                 0.0896,                0.08157,                0.05861,                 1.1816,                 2.2183,                 1.3125,                0.00703,                0.00703,                0.00703
                     14,                 1.3854,                 3.3434,                 1.4205,                0.58689,                0.09422,                 0.0842,                0.06029,                  1.173,                 2.1945,                 1.3065,              0.0067825,              0.0067825,              0.0067825
                     15,                   1.38,                 3.3236,                 1.4192,                0.58629,                 0.0968,                0.08604,                0.06155,                 1.1638,                 2.1713,                 1.2979,               0.006535,               0.006535,               0.006535
                     16,                 1.3727,                 3.2869,                  1.411,                0.57724,                0.09928,                0.08966,                0.06475,                 1.1589,                 2.1474,                 1.2927,              0.0062875,              0.0062875,              0.0062875
                     17,                  1.368,                  3.265,                 1.4096,                0.55543,                0.10365,                0.09428,                0.06802,                 1.1541,                 2.1319,                 1.2902,                0.00604,                0.00604,                0.00604
                     18,                 1.3585,                 3.2298,                 1.4028,                0.56817,                0.10603,                0.09815,                0.07092,                  1.149,                 2.1146,                 1.2852,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.3573,                 3.2112,                 1.4003,                0.58294,                0.10206,                 0.0998,                0.07172,                 1.1441,                 2.1005,                 1.2812,               0.005545,               0.005545,               0.005545
                     20,                 1.3492,                 3.1828,                 1.3945,                0.58869,                0.10169,                0.10168,                0.07276,                 1.1411,                 2.0886,                  1.279,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.3423,                 3.1552,                 1.3911,                0.59934,                0.09853,                0.10348,                0.07473,                 1.1371,                 2.0769,                 1.2749,                0.00505,                0.00505,                0.00505
                     22,                 1.3387,                 3.1273,                 1.3864,                0.57573,                0.10736,                0.10446,                0.07545,                 1.1337,                 2.0647,                 1.2715,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.3294,                 3.1007,                 1.3821,                0.56491,                0.11153,                0.10624,                0.07709,                 1.1305,                 2.0556,                 1.2692,               0.004555,               0.004555,               0.004555
                     24,                 1.3259,                 3.0877,                 1.3791,                0.56224,                0.11092,                0.10618,                0.07668,                 1.1284,                 2.0473,                 1.2671,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.3189,                 3.0573,                 1.3736,                0.56049,                0.11294,                0.10713,                0.07742,                 1.1267,                 2.0392,                 1.2657,                0.00406,                0.00406,                0.00406
                     26,                 1.3191,                 3.0397,                 1.3713,                0.56303,                0.11212,                0.10853,                0.07835,                 1.1254,                 2.0345,                 1.2641,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.3103,                 3.0201,                 1.3663,                0.56835,                0.11105,                0.11015,                0.07939,                 1.1238,                   2.03,                 1.2626,               0.003565,               0.003565,               0.003565
