                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1658,                 3.5762,                 2.5586,                0.22831,                0.16749,                0.10597,                0.05704,                 3.3345,                 6.1915,                 3.6989,             0.00020792,             0.00020792,             0.00020792
                      2,                 1.9881,                  2.378,                 2.5207,                0.26249,                0.15496,                0.08426,                0.04217,                 3.5994,                 6.8045,                 3.9926,             0.00040801,             0.00040801,             0.00040801
                      3,                 1.8885,                 2.1868,                 2.4642,                0.21187,                 0.1464,                0.08867,                0.04204,                 3.6621,                 6.3663,                 3.9661,             0.00059985,             0.00059985,             0.00059985
                      4,                 1.7336,                 1.9585,                 2.3642,                0.19263,                0.15844,                 0.0947,                0.04606,                 3.6364,                 6.2104,                 3.9378,             0.00058787,             0.00058787,             0.00058787
                      5,                  1.688,                 1.9026,                 2.3562,                0.22486,                0.18044,                 0.1112,                0.05309,                 3.5709,                 6.0827,                 3.8668,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.5694,                 1.7172,                 2.2758,                0.19596,                0.20622,                0.12102,                0.06179,                  3.579,                 5.9893,                 3.8473,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.4943,                 1.6757,                 2.2515,                0.22648,                 0.2127,                0.13374,                0.06958,                 3.5317,                 5.7352,                 3.8288,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.4242,                 1.5613,                 2.1956,                0.24254,                 0.2259,                 0.1531,                0.07941,                 3.4794,                 5.6402,                 3.7894,             0.00053838,             0.00053838,             0.00053838
                      9,                  1.384,                 1.5025,                 2.1791,                0.26359,                0.24222,                0.15719,                0.08098,                 3.4646,                 5.7456,                  3.759,               0.000526,               0.000526,               0.000526
                     10,                  1.303,                 1.4216,                 2.1449,                0.27223,                0.25658,                0.17381,                0.09213,                 3.4053,                 5.2332,                  3.689,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.2529,                 1.3722,                  2.109,                0.28002,                0.25525,                0.18738,                0.10142,                 3.3349,                 5.1762,                 3.6394,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.2371,                 1.3585,                 2.1007,                0.31977,                0.26675,                0.20777,                0.11074,                 3.3297,                 5.1433,                 3.6266,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.1979,                 1.2973,                  2.082,                0.31606,                0.28205,                0.22071,                0.12094,                 3.3087,                 4.8828,                 3.5898,              0.0004765,              0.0004765,              0.0004765
                     14,                 1.1713,                 1.2551,                 2.0699,                0.29845,                0.28622,                0.20913,                0.11222,                 3.3611,                 5.0821,                 3.6197,             0.00046413,             0.00046413,             0.00046413
                     15,                 1.1604,                 1.2792,                 2.0685,                 0.3011,                 0.2802,                 0.2115,                0.11447,                 3.2607,                 4.9494,                 3.5609,             0.00045175,             0.00045175,             0.00045175
                     16,                 1.1434,                 1.2352,                 2.0531,                0.31031,                  0.313,                0.21995,                0.12093,                 3.2698,                 4.9388,                 3.5802,             0.00043937,             0.00043937,             0.00043937
                     17,                 1.0935,                 1.1756,                 2.0321,                0.33294,                0.32665,                0.25098,                0.13931,                 3.2392,                  4.691,                 3.5655,               0.000427,               0.000427,               0.000427
                     18,                 1.0777,                 1.1507,                 2.0291,                0.31736,                0.30544,                0.24712,                0.13716,                 3.2717,                 4.7356,                 3.5684,             0.00041462,             0.00041462,             0.00041462
                     19,                 1.0751,                 1.1547,                  2.019,                0.35182,                0.30343,                0.24888,                0.13652,                 3.2605,                 4.7711,                 3.5195,             0.00040225,             0.00040225,             0.00040225
                     20,                 1.0003,                 1.0576,                 1.9766,                0.36024,                0.32571,                 0.2806,                0.15641,                 3.2157,                 4.4789,                 3.5027,             0.00038988,             0.00038988,             0.00038988
                     21,                 1.0182,                 1.0837,                 1.9884,                0.32143,                0.31725,                0.25208,                0.14085,                 3.2422,                 4.7669,                 3.5196,              0.0003775,              0.0003775,              0.0003775
                     22,                  1.012,                 1.0743,                 1.9842,                0.35544,                 0.3443,                0.28711,                0.15909,                 3.2186,                 4.4062,                 3.4974,             0.00036513,             0.00036513,             0.00036513
                     23,                0.98408,                 1.0272,                 1.9729,                0.36948,                0.35217,                0.28866,                0.16009,                 3.2094,                 4.4739,                 3.5092,             0.00035275,             0.00035275,             0.00035275
