                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2495,                   5.84,                 1.2376,                0.65184,                0.00632,                0.00333,                0.00223,                 1.3308,                   6.07,                 1.3714,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.2137,                 3.5987,                 1.2087,                0.48883,                0.01074,                0.00478,                0.00311,                 1.5204,                  5.964,                 1.5226,              0.0065971,              0.0065971,              0.0065971
                      3,                 1.1695,                 2.4937,                 1.1865,                0.27307,                0.00852,                0.00494,                0.00289,                 1.5844,                 5.9609,                 1.6287,              0.0097985,              0.0097985,              0.0097985
                      4,                 1.1121,                 2.0902,                 1.1571,                 0.1644,                0.00993,                0.00397,                0.00232,                 1.6479,                 6.0542,                 1.6894,               0.009703,               0.009703,               0.009703
                      5,                 1.0448,                 1.8507,                 1.1224,                0.17468,                0.00934,                0.00538,                0.00334,                 1.6196,                 5.8151,                 1.6626,               0.009604,               0.009604,               0.009604
                      6,                0.96936,                 1.6662,                 1.0875,                0.22407,                0.00841,                  0.005,                0.00313,                 1.5975,                 5.8688,                  1.677,               0.009505,               0.009505,               0.009505
                      7,                0.94354,                 1.6103,                 1.0765,                0.19169,                0.01247,                0.00643,                0.00392,                 1.6023,                  5.777,                 1.6565,               0.009406,               0.009406,               0.009406
                      8,                0.90155,                 1.5067,                 1.0583,                0.26004,                0.01121,                0.00648,                0.00417,                 1.5842,                 5.8221,                 1.6446,               0.009307,               0.009307,               0.009307
                      9,                0.88389,                 1.4838,                 1.0525,                0.24541,                0.01327,                0.00712,                0.00446,                 1.5933,                 5.7752,                 1.6617,               0.009208,               0.009208,               0.009208
                     10,                0.86232,                 1.4461,                 1.0401,                0.28421,                0.01468,                 0.0069,                 0.0043,                 1.5703,                 5.8563,                 1.6333,               0.009109,               0.009109,               0.009109
                     11,                0.83858,                 1.3889,                 1.0314,                0.28854,                0.01464,                0.00843,                0.00543,                 1.5465,                 5.8015,                 1.6507,                0.00901,                0.00901,                0.00901
                     12,                 0.8164,                 1.3398,                 1.0181,                0.28917,                0.01516,                0.00853,                0.00533,                 1.5491,                 5.6992,                 1.6268,               0.008911,               0.008911,               0.008911
                     13,                0.79729,                 1.2999,                 1.0122,                0.28256,                0.01947,                0.00915,                0.00585,                 1.5466,                 5.8025,                 1.6139,               0.008812,               0.008812,               0.008812
                     14,                0.79474,                 1.2961,                 1.0115,                0.33553,                0.01522,                 0.0097,                0.00611,                 1.5461,                 5.8496,                 1.6139,               0.008713,               0.008713,               0.008713
                     15,                0.78275,                 1.2811,                 1.0076,                0.33395,                0.01807,                0.00979,                 0.0063,                 1.5572,                 5.8108,                 1.6331,               0.008614,               0.008614,               0.008614
                     16,                0.77105,                 1.2459,                 1.0014,                0.34267,                0.02238,                0.01104,                0.00736,                 1.5199,                 5.8513,                 1.6225,               0.008515,               0.008515,               0.008515
                     17,                0.75863,                 1.2259,                0.99678,                 0.3165,                0.02152,                0.01019,                0.00645,                 1.5308,                 5.9162,                 1.6251,               0.008416,               0.008416,               0.008416
                     18,                0.74766,                  1.197,                0.99297,                  0.345,                0.02157,                0.01254,                0.00863,                 1.5487,                 5.7871,                 1.6154,               0.008317,               0.008317,               0.008317
